0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.43	0.43	0.43	0.43	0.43	0.43	0.43	0.43	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.33	0.33	0.33	0.33	0.33	0.33	0.17	0.33	
0.60	0.50	0.60	0.60	0.60	0.60	0.50	0.50	
0.58	0.50	0.58	0.58	0.58	0.58	0.50	0.58	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.50	0.50	0.50	0.50	0.50	0.50	0.50	0.50	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.95	0.95	0.95	0.94	0.95	0.95	0.93	0.93	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.30	0.30	0.30	0.30	0.30	0.30	0.20	0.30	
0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.20	0.20	0.20	0.20	0.20	0.20	0.20	0.20	
0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.98	0.98	0.98	0.98	0.98	0.98	0.96	0.98	
