BIGGEST	SMALLEST	RANDOM	SIMILARITY
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.80	0.80	0.80	0.80	
0.79	0.79	0.79	0.79	
0.79	0.79	0.79	0.79	
0.79	0.79	0.79	0.79	
0.79	0.79	0.79	0.79	
0.79	0.79	0.79	0.79	
0.79	0.79	0.79	0.79	
0.79	0.79	0.79	0.79	
0.79	0.79	0.79	0.79	
0.79	0.79	0.79	0.79	
0.79	0.79	0.79	0.79	
