2099303	290678	223802	279422	82767	83760	
428733	336696	356230	116536	100644	104949	
765760	459191	420787	263200	227443	197317	
196655	188046	189039	47674	49660	62572	
31452	29797	29134	17546	17216	16222	
46681	43038	45356	17878	17877	16885	
71842	66545	64558	44363	402910	41384	
217843	212877	195330	80449	49992	49330	
265848	258895	244991	70848	67869	70186	
265186	277435	305907	89057	86409	80449	
71180	67869	70187	61248	32445	28471	
365499	704844	437341	129448	87402	89057	
156264	193675	136731	71511	71842	63565	
117198	131103	108259	123489	38404	36086	
